snies_Consolidado_2015_a_2018_p1;IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";Id_Sector;Sector IES;Id_Caracter;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";"Código 
SNIES del
programa";Programa Académico;Id_Nivel;Nivel Académico;Id_Nivel_Formacion;Nivel de Formación;Id_Metodologia;Metodología;Id_Area;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);"Código del 
Departamento
(Programa)";Departamento de oferta del programa;"Código del 
Municipio
(Programa)";Municipio de oferta del programa;Id Género;Género;Año;Semestre;Matriculados
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;Mujer;2015;1;879
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;Mujer;2015;2;975
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;13;BOLIVAR;13001;CARTAGENA;2;Mujer;2015;1;9
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;13;BOLIVAR;13001;CARTAGENA;2;Mujer;2015;2;37
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18001;FLORENCIA;2;Mujer;2015;1;38
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18001;FLORENCIA;2;Mujer;2015;2;55
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18150;CARTAGENA DEL CHAIRA;2;Mujer;2015;1;2
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18150;CARTAGENA DEL CHAIRA;2;Mujer;2015;2;15
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18247;EL DONCELLO;2;Mujer;2015;1;9
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18247;EL DONCELLO;2;Mujer;2015;2;13
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;18;CAQUETA;18753;SAN VICENTE DEL CAGUAN;2;Mujer;2015;1;1
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20001;VALLEDUPAR;2;Mujer;2015;1;2
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20001;VALLEDUPAR;2;Mujer;2015;2;32
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20011;AGUACHICA;2;Mujer;2015;1;2
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20011;AGUACHICA;2;Mujer;2015;2;3
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20060;BOSCONIA;2;Mujer;2015;1;9
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;20;CESAR;20060;BOSCONIA;2;Mujer;2015;2;34
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23001;MONTERIA;2;Mujer;2015;1;234
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23001;MONTERIA;2;Mujer;2015;2;271
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23417;LORICA;2;Mujer;2015;1;1
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23660;SAHAGUN;2;Mujer;2015;1;10
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23660;SAHAGUN;2;Mujer;2015;2;13
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23675;SAN BERNARDO DEL VIENTO;2;Mujer;2015;1;6
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23675;SAN BERNARDO DEL VIENTO;2;Mujer;2015;2;6
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23807;TIERRALTA;2;Mujer;2015;1;17
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23807;TIERRALTA;2;Mujer;2015;2;22
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23815;TUCHIN;2;Mujer;2015;1;6
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;23;CORDOBA;23815;TUCHIN;2;Mujer;2015;2;10
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25175;CHIA;2;Mujer;2015;1;21
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25175;CHIA;2;Mujer;2015;2;23
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25245;EL COLEGIO;2;Mujer;2015;1;19
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25290;FUSAGASUGA;2;Mujer;2015;1;10
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25290;FUSAGASUGA;2;Mujer;2015;2;16
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;25;CUNDINAMARCA;25386;LA MESA;2;Mujer;2015;2;22
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41001;NEIVA;2;Mujer;2015;1;156
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41001;NEIVA;2;Mujer;2015;2;170
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41306;GIGANTE;2;Mujer;2015;1;22
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41306;GIGANTE;2;Mujer;2015;2;27
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41319;GUADALUPE;2;Mujer;2015;1;5
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41668;SAN AGUSTIN;2;Mujer;2015;1;3
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;41;HUILA;41668;SAN AGUSTIN;2;Mujer;2015;2;19
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;47;MAGDALENA;47001;SANTA MARTA;2;Mujer;2015;1;246
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;47;MAGDALENA;47001;SANTA MARTA;2;Mujer;2015;2;320
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;47;MAGDALENA;47245;EL BANCO;2;Mujer;2015;1;7
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;Institución Técnica Profesional;11;BOGOTA D.C.;11001;BOGOTA D.C.;2380;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;1;PREGRADO;4;Técnico;2;Distancia Tradicional;6;Derecho;69;Administración;47;MAGDALENA;47245;EL BANCO;2;Mujer;2015;2;16
